Timestamp,Host,Error_Type,Severity,Message
Sep 15 08:07:59,krill.accuristechnologies.ca,cert_expired,HIGH,Sep 15 08:07:59 rpki-client: krill.accuristechnologies.ca/repo/Accuris-Technologies/0/8A15107195E63966ABA1997AD31382979C75F736.cer: certificate has expired
Sep 15 07:58:54,rpki.0i1.eu,connection_refused,LOW,"Sep 15 07:58:54 openrsync: warning: connect refused: 2a03:4000:20:b7::106, rpki.0i1.eu"
Sep 15 07:59:04,rpki.leitecastro.com,connection_refused,LOW,"Sep 15 07:59:04 openrsync: warning: connect refused: 2602:faa5:130::5, rpki.leitecastro.com"
Sep 15 07:59:48,rpki.0i1.eu,connection_refused,LOW,"Sep 15 07:59:48 openrsync: warning: connect refused: 2a03:4000:20:b7::106, rpki.0i1.eu"
Sep 15 07:59:50,rpki.zappiehost.com,connection_refused,LOW,"Sep 15 07:59:50 openrsync: warning: connect refused: 95.211.63.25, rpki.zappiehost.com"
Sep 15 07:59:50,rpki.zappiehost.com,connection_refused,LOW,"Sep 15 07:59:50 openrsync: warning: connect refused: 2a0e:97c0:a43::301, rpki.zappiehost.com"
Sep 15 07:59:51,rpki-rsync.warpnet.xyz,connection_refused,LOW,"Sep 15 07:59:51 openrsync: warning: connect refused: 2001:67c:34::ff:fe02:11, rpki-rsync.warpnet.xyz"
Sep 15 07:59:55,krill.signalx.cloud,connection_refused,LOW,"Sep 15 07:59:55 openrsync: warning: connect refused: 82.26.113.7, krill.signalx.cloud"
Sep 15 07:59:55,krill.signalx.cloud,connection_refused,LOW,"Sep 15 07:59:55 openrsync: warning: connect refused: 2a11:29c0:3d92::3, krill.signalx.cloud"
Sep 15 08:00:17,repo.rpki.space,connection_refused,LOW,"Sep 15 08:00:17 openrsync: warning: connect refused: 2a06:98c1:3121::, repo.rpki.space"
Sep 15 08:00:17,repo.rpki.space,connection_refused,LOW,"Sep 15 08:00:17 openrsync: warning: connect refused: 2a06:98c1:3120::, repo.rpki.space"
Sep 15 08:00:36,rpki.leitecastro.com,connection_refused,LOW,"Sep 15 08:00:36 openrsync: warning: connect refused: 2602:faa5:130::5, rpki.leitecastro.com"
Sep 15 08:02:00,krill.rg.net,connection_refused,LOW,"Sep 15 08:02:00 openrsync: warning: connect refused: 198.180.152.62, krill.rg.net"
Sep 15 08:02:00,krill.rg.net,connection_refused,LOW,"Sep 15 08:02:00 openrsync: warning: connect refused: 2001:418:3807::62, krill.rg.net"
Sep 15 08:02:33,rpki.fengrui.link,connection_refused,LOW,"Sep 15 08:02:33 openrsync: warning: connect refused: 2a06:98c1:3121::, rpki.fengrui.link"
Sep 15 08:02:33,rpki.fengrui.link,connection_refused,LOW,"Sep 15 08:02:33 openrsync: warning: connect refused: 2a06:98c1:3120::, rpki.fengrui.link"
Sep 15 08:01:39,rpki-rps.arin.net,crl_expired,MEDIUM,Sep 15 08:01:39 rpki-client: rpki-rps.arin.net/repository/8a848ade91fb43b4019288462c3804e6/0/389874291F32B753C52179673ADD5AD10FCB863D.mft: CRL has expired
Sep 15 08:01:42,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:42 rpki-client: rsync.paas.rpki.ripe.net/repository/fa1b8677-ea6b-4043-907d-59f4675f2977/0/C3A70AD7F32685733597C663E02CE28A3306F923.mft: CRL has expired
Sep 15 08:01:43,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:43 rpki-client: rsync.paas.rpki.ripe.net/repository/330c7f5c-faae-4354-b920-e20bd0425bb9/0/2E1EDE80640C9F484F75DD39C13ED6C70E074A03.mft: CRL has expired
Sep 15 08:01:43,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:43 rpki-client: rsync.paas.rpki.ripe.net/repository/2feab205-d14b-4a2a-a38a-6be9ee483ace/0/EC6C7177521BD791A07FA0AA12E710B684F06985.mft: CRL has expired
Sep 15 08:01:46,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:46 rpki-client: rsync.paas.rpki.ripe.net/repository/8d5cd14e-5f63-4f1c-94e3-27050c266480/0/0CDB32D6253FBAFE07378A1A30946A73AEC7E3D4.mft: CRL has expired
Sep 15 08:01:50,pub.krill.ausra.cloud,crl_expired,MEDIUM,Sep 15 08:01:50 rpki-client: pub.krill.ausra.cloud/repo/Ausra-Systems-Internal-CA/0/B32E3E3753E1C34EB8EC09DDA363F06C67B7DB8A.mft: CRL has expired
Sep 15 08:01:51,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:51 rpki-client: rsync.paas.rpki.ripe.net/repository/80a6dc53-b20d-453a-b7e5-3e06ef42bd26/0/B1D3049AB90B73314F2ADFCAD639336D9320B35E.mft: CRL has expired
Sep 15 08:01:51,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:51 rpki-client: rsync.paas.rpki.ripe.net/repository/24db6e0e-696c-4f89-8d48-274559700af5/1/A9DD9F6B65491D90C4E19E9C960252466C2C9D12.mft: CRL has expired
Sep 15 08:01:51,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:51 rpki-client: rsync.paas.rpki.ripe.net/repository/3c8e4e11-3aca-4305-acd4-f05e6c909115/0/B8288EA9E3D67DC3D38FA775181C4B2C87729BDF.mft: CRL has expired
Sep 15 08:01:51,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:51 rpki-client: rsync.paas.rpki.ripe.net/repository/c5592a54-4035-4970-86dc-3d1803b7b60f/0/945031CB22A35CDB6CE579CB70270EA7B3A89A27.mft: CRL has expired
Sep 15 08:01:52,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:52 rpki-client: rsync.paas.rpki.ripe.net/repository/c99265ef-22a9-4100-a23d-51a9d9feeb7d/0/D93EF0701E8CA6ED0A0E6D46A38B8D8CF3091285.mft: CRL has expired
Sep 15 08:01:52,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:52 rpki-client: rsync.paas.rpki.ripe.net/repository/d88b854e-092c-4d79-ac06-af380b08d12b/2/FD7A8C110A628469378572A2918653F6F8D726D2.mft: CRL has expired
Sep 15 08:01:54,rpki.zappiehost.com,crl_expired,MEDIUM,Sep 15 08:01:54 rpki-client: rpki.zappiehost.com/repo/TERITUM_UID_18858/1/91EFE7B33A66C7FDBB711F76D87E9353E530425B.mft: CRL has expired
Sep 15 08:01:54,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:54 rpki-client: rsync.paas.rpki.ripe.net/repository/4e650b54-abc4-4418-aeb6-088a50d1d5f1/1/D7B42D8A567C7905A57C26B0BBACEA84833B5998.mft: CRL has expired
Sep 15 08:01:55,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:55 rpki-client: rsync.paas.rpki.ripe.net/repository/98826bce-854a-48c6-86af-93cf28393576/0/ADAA2DF4F9F7F1B10330C3AB0CE4598D59DFFDA0.mft: CRL has expired
Sep 15 08:01:57,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:57 rpki-client: rsync.paas.rpki.ripe.net/repository/140d7b73-de43-4336-8509-30a22dd398f5/0/5C7262A955ADA62839313DB8EDCA355BFB981427.mft: CRL has expired
Sep 15 08:01:57,rsync.paas.rpki.ripe.net,crl_expired,MEDIUM,Sep 15 08:01:57 rpki-client: rsync.paas.rpki.ripe.net/repository/b64c075f-eb10-4426-bb40-3a833fe0f9fb/1/7DDB99F73E7B582C352890E3AD5785D3679F8891.mft: CRL has expired
